program	x_size	y_size	time	mean	sd
biojsmsa	100	1024	1.26524118996	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.0805916479600002	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.3349452919600002	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.0805914489600001	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.11494739296	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.26877779996	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.1805808399600002	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.20660662796	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.17343127296	1.1844923519600001	0.08522188905195323
biojsmsa	100	1024	1.1392100069600002	1.1844923519600001	0.08522188905195323
biojsmsa	100	1048576	17.866763539940003	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	18.31443053694	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	18.063925344940003	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	17.631363038940002	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	17.936800939940003	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	17.735909008940002	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	18.02696364794	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	17.897079209940003	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	17.83593206994	17.96021712074	0.2207559875556684
biojsmsa	100	1048576	18.29300386994	17.96021712074	0.2207559875556684
biojsmsa	100	128	1.2630897196600002	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.2673930526600001	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.23809157366	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.15702896766	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.1882110486600002	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.2059690956600002	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.23944399066	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.17923259866	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.1674091266600002	1.2051692169600003	0.044361446595857626
biojsmsa	100	128	1.1458229956600001	1.2051692169600003	0.044361446595857626
biojsmsa	100	131072	3.2792048458800003	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.2478883988800002	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.1804479968800003	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.1687966268800003	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.2647457168800003	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.28061203088	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.3318456698800003	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.33290613588	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.23321222488	3.2631619652800006	0.057158670863179085
biojsmsa	100	131072	3.31196000588	3.2631619652800006	0.057158670863179085
biojsmsa	100	16384	1.51046762836	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.5283916503600001	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.44955190636	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.51375453736	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.45848814236	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.47449769136	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.50028194236	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.48367715936	1.4826769913600002	0.029591614097770995
biojsmsa	100	16384	1.44101437936	1.4826769913600002	0.029591614097770995
