program	size	time	mean	sd
biojsmsa	1024	1.7980085814	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.7561014924	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.7711577354	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.6753254374000002	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.7957582314	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.8305949124	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.8173887264	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.7924422974	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.6920777054	1.7634212551000001	0.054614392814706154
biojsmsa	1024	1.7053574314	1.7634212551000001	0.054614392814706154
biojsmsa	128	1.6373483794400001	1.54710113104	0.04568599034397613
biojsmsa	128	1.56394749144	1.54710113104	0.04568599034397613
biojsmsa	128	1.57501847644	1.54710113104	0.04568599034397613
biojsmsa	128	1.4940031494400001	1.54710113104	0.04568599034397613
biojsmsa	128	1.5335850394400001	1.54710113104	0.04568599034397613
biojsmsa	128	1.54655219444	1.54710113104	0.04568599034397613
biojsmsa	128	1.51453998144	1.54710113104	0.04568599034397613
biojsmsa	128	1.5166358294400002	1.54710113104	0.04568599034397613
biojsmsa	128	1.59251702644	1.54710113104	0.04568599034397613
biojsmsa	128	1.49686374244	1.54710113104	0.04568599034397613
biojsmsa	16384	9.7150072695	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.5182054055	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.8678806945	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.781600122499999	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.662714767499999	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.5309891025	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.4101363235	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.4939313205	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.6372589075	9.611480310800001	0.14579783118284922
biojsmsa	16384	9.4970791945	9.611480310800001	0.14579783118284922
biojsmsa	2048	1.9026339573	1.9050012581	0.05986234144239132
biojsmsa	2048	1.8469118923	1.9050012581	0.05986234144239132
biojsmsa	2048	1.9069666753	1.9050012581	0.05986234144239132
biojsmsa	2048	1.8663322833000002	1.9050012581	0.05986234144239132
biojsmsa	2048	2.0008028333	1.9050012581	0.05986234144239132
biojsmsa	2048	2.0178010853	1.9050012581	0.05986234144239132
biojsmsa	2048	1.9178567263000001	1.9050012581	0.05986234144239132
biojsmsa	2048	1.8716199003000002	1.9050012581	0.05986234144239132
biojsmsa	2048	1.8541467393	1.9050012581	0.05986234144239132
biojsmsa	2048	1.8649404883000003	1.9050012581	0.05986234144239132
biojsmsa	256	1.9864683829800003	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.6042772549800002	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.6791783189800003	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.6697188549800002	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.6247532629800001	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.6785917189800001	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.5896393439800003	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.51393384798	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.56420676998	1.6610976214800002	0.12858366752513115
biojsmsa	256	1.7002084589800002	1.6610976214800002	0.12858366752513115
biojsmsa	4096	2.4399516512	2.4638147263	0.07270532117959781
biojsmsa	4096	2.5878772932	2.4638147263	0.07270532117959781
biojsmsa	4096	2.3892157362	2.4638147263	0.07270532117959781
biojsmsa	4096	2.4037412082	2.4638147263	0.07270532117959781
biojsmsa	4096	2.3996446192	2.4638147263	0.07270532117959781
biojsmsa	4096	2.5855292192	2.4638147263	0.07270532117959781
biojsmsa	4096	2.5022912541999998	2.4638147263	0.07270532117959781
biojsmsa	4096	2.4268974212	2.4638147263	0.07270532117959781
biojsmsa	4096	2.4649323322	2.4638147263	0.07270532117959781
biojsmsa	4096	2.4380665282	2.4638147263	0.07270532117959781
biojsmsa	512	1.6455820745999998	1.6249936198000001	0.03572417313965839
biojsmsa	512	1.5988739256	1.6249936198000001	0.03572417313965839
biojsmsa	512	1.6336759596	1.6249936198000001	0.03572417313965839
biojsmsa	512	1.6154679406	1.6249936198000001	0.03572417313965839
biojsmsa	512	1.6328914406	1.6249936198000001	0.03572417313965839
biojsmsa	512	1.7098914085999999	1.6249936198000001	0.03572417313965839
